trimmed_name,video_base,camera,t_start_sec_x,t_end_sec_x,activity_label
trimmed_columpios_cam4-2024-11-21_19_16_11_00-00-06_to_00-00-10_4.mp4,columpios_cam4-2024-11-21 19:16:11.mp4,columpios_cam4,6.333,10.333,Transit
trimmed_columpioscam2-2024-10-22_22_18_01_00-00-14_to_00-00-18_8.mp4,columpioscam2-2024-10-22 22:18:01.mp4,columpioscam2,14.5,18.5,Transit
trimmed_columpioscam1-2024-11-17_17_59_08_00-00-04_to_00-00-08_12.mp4,columpioscam1-2024-11-17 17:59:08.mp4,columpioscam1,4.333,8.333,Social_People
trimmed_columpioscam1-2024-11-17_17_59_08_00-00-04_to_00-00-08_12.mp4,columpioscam1-2024-11-17 17:59:08.mp4,columpioscam1,4.333,8.333,Social_People
trimmed_columpioscam3-2024-09-25_12_47_16_00-00-11_to_00-00-15_13.mp4,columpioscam3-2024-09-25 12:47:16.mp4,columpioscam3,11.417,15.417,Transit
trimmed_columpios_cam4-2024-11-12_07_02_53_00-00-04_to_00-00-08_16.mp4,columpios_cam4-2024-11-12 07:02:53.mp4,columpios_cam4,4.167,8.167,Transit
trimmed_columpioscam1-2024-10-04_11_28_15_00-00-08_to_00-00-12_19.mp4,columpioscam1-2024-10-04 11:28:15.mp4,columpioscam1,8.333,12.333,Transit
trimmed_columpios_cam4-2024-12-14_21-25-00_00-00-05_to_00-00-09_21.mp4,columpios_cam4-2024-12-14_21-25-00.mp4,columpios_cam4,4.75,8.75,Transit
trimmed_columpioscam3-2024-11-12_07_12_36_00-00-12_to_00-00-16_22.mp4,columpioscam3-2024-11-12 07:12:36.mp4,columpioscam3,11.5,15.5,Transit
trimmed_columpioscam3-2024-12-09_08-30-00_00-00-07_to_00-00-11_24.mp4,columpioscam3-2024-12-09_08-30-00.mp4,columpioscam3,7.333,11.333,Transit
trimmed_columpioscam2-2024-12-17_19_53_18_00-00-09_to_00-00-13_26.mp4,columpioscam2-2024-12-17 19:53:18.mp4,columpioscam2,8.667,12.667,Transit
trimmed_columpios_cam4-2024-11-13_07_18_24_00-00-07_to_00-00-11_31.mp4,columpios_cam4-2024-11-13 07:18:24.mp4,columpios_cam4,7.083,11.083,Transit
trimmed_columpioscam3-2024-10-22_11_23_49_00-00-08_to_00-00-12_33.mp4,columpioscam3-2024-10-22 11:23:49.mp4,columpioscam3,8.333,12.333,Transit
trimmed_columpios_cam4-2024-12-16_18-41-00_00-00-11_to_00-00-15_34.mp4,columpios_cam4-2024-12-16_18-41-00.mp4,columpios_cam4,10.75,14.75,Transit
trimmed_columpioscam2-2024-12-13_21-08-00_00-00-08_to_00-00-12_37.mp4,columpioscam2-2024-12-13_21-08-00.mp4,columpioscam2,8.083,12.083,Transit
trimmed_columpios_cam4-2024-09-27_13_05_01_00-00-09_to_00-00-13_38.mp4,columpios_cam4-2024-09-27 13:05:01.mp4,columpios_cam4,9.167,13.167,Transit
trimmed_columpioscam2-2024-11-16_13_13_06_00-00-05_to_00-00-09_39.mp4,columpioscam2-2024-11-16 13:13:06.mp4,columpioscam2,5.333,9.333,Transit
trimmed_columpioscam2-2024-12-09_19-34-00_00-00-07_to_00-00-11_48.mp4,columpioscam2-2024-12-09_19-34-00.mp4,columpioscam2,6.833,10.833,No_Activity
trimmed_columpioscam2-2024-10-24_11_53_59_00-00-14_to_00-00-18_50.mp4,columpioscam2-2024-10-24 11:53:59.mp4,columpioscam2,13.917,17.917,Transit
trimmed_columpioscam2-2024-10-24_11_53_59_00-00-14_to_00-00-18_50.mp4,columpioscam2-2024-10-24 11:53:59.mp4,columpioscam2,13.917,17.917,Transit
trimmed_columpioscam1-2024-11-11_18_39_26_00-00-05_to_00-00-09_54.mp4,columpioscam1-2024-11-11 18:39:26.mp4,columpioscam1,5.167,9.167,Transit
trimmed_columpios_tierra-2024-09-26_12_21_18_00-00-12_to_00-00-16_55.mp4,columpios_tierra-2024-09-26 12:21:18.mp4,nan,11.917,15.917,Social_People
trimmed_columpioscam3-2025-01-06_12-07-46_00-00-08_to_00-00-12_58.mp4,columpioscam3-2025-01-06_12-07-46.mp4,columpioscam3,8.333,12.333,Transit
trimmed_columpioscam3-2025-01-06_12-07-46_00-00-08_to_00-00-12_58.mp4,columpioscam3-2025-01-06_12-07-46.mp4,columpioscam3,8.333,12.333,Transit
trimmed_columpioscam3-2024-11-20_17_31_08_00-00-08_to_00-00-12_63.mp4,columpioscam3-2024-11-20 17:31:08.mp4,columpioscam3,8.333,12.333,Transit
trimmed_columpios_tierra-2024-09-25_21_08_41_00-00-10_to_00-00-14_64.mp4,columpios_tierra-2024-09-25 21:08:41.mp4,nan,9.583,13.583,Social_People
trimmed_columpioscam1-2024-10-22_18_57_43_00-00-04_to_00-00-08_66.mp4,columpioscam1-2024-10-22 18:57:43.mp4,columpioscam1,3.917,7.917,No_Activity
trimmed_columpioscam2-2024-11-21_13_12_06_00-00-07_to_00-00-11_67.mp4,columpioscam2-2024-11-21 13:12:06.mp4,columpioscam2,7.333,11.333,Transit
trimmed_columpioscam2-2024-10-24_12_09_07_00-00-05_to_00-00-09_69.mp4,columpioscam2-2024-10-24 12:09:07.mp4,columpioscam2,4.667,8.667,Transit
trimmed_columpioscam1-2024-11-14_19_29_31_00-00-06_to_00-00-10_73.mp4,columpioscam1-2024-11-14 19:29:31.mp4,columpioscam1,6.083,10.083,Social_People
trimmed_columpioscam1-2024-11-14_19_29_31_00-00-06_to_00-00-10_73.mp4,columpioscam1-2024-11-14 19:29:31.mp4,columpioscam1,6.083,10.083,Social_People
trimmed_columpioscam1-2024-11-21_18_50_13_00-00-15_to_00-00-19_74.mp4,columpioscam1-2024-11-21 18:50:13.mp4,columpioscam1,14.833,18.833,Transit
trimmed_columpioscam2-2024-11-16_22_18_10_00-00-09_to_00-00-13_75.mp4,columpioscam2-2024-11-16 22:18:10.mp4,columpioscam2,9.167,13.167,Play_Object_Normal
trimmed_columpioscam2-2024-11-16_22_18_10_00-00-09_to_00-00-13_75.mp4,columpioscam2-2024-11-16 22:18:10.mp4,columpioscam2,9.167,13.167,Play_Object_Normal
trimmed_columpioscam3-2024-11-13_08_08_30_00-00-05_to_00-00-09_78.mp4,columpioscam3-2024-11-13 08:08:30.mp4,columpioscam3,5.167,9.167,Transit
trimmed_columpioscam3-2024-09-25_06_22_23_00-00-04_to_00-00-08_81.mp4,columpioscam3-2024-09-25 06:22:23.mp4,columpioscam3,4.0,8.0,Transit
trimmed_columpios_tierra-2024-09-25_17_28_25_00-00-09_to_00-00-13_83.mp4,columpios_tierra-2024-09-25 17:28:25.mp4,nan,8.667,12.667,Social_People
trimmed_columpioscam1-2024-11-21_20_37_41_00-00-07_to_00-00-11_84.mp4,columpioscam1-2024-11-21 20:37:41.mp4,columpioscam1,6.75,10.75,Negative_Contact
trimmed_columpioscam3-2024-10-22_19_23_41_00-00-17_to_00-00-21_86.mp4,columpioscam3-2024-10-22 19:23:41.mp4,columpioscam3,16.75,20.75,Social_People
trimmed_columpioscam3-2024-10-22_19_23_41_00-00-17_to_00-00-21_86.mp4,columpioscam3-2024-10-22 19:23:41.mp4,columpioscam3,16.75,20.75,Social_People
trimmed_columpioscam3-2024-10-22_19_23_41_00-00-05_to_00-00-09_87.mp4,columpioscam3-2024-10-22 19:23:41.mp4,columpioscam3,4.75,8.75,Social_People
trimmed_columpioscam3-2024-10-22_19_23_41_00-00-05_to_00-00-09_87.mp4,columpioscam3-2024-10-22 19:23:41.mp4,columpioscam3,4.75,8.75,Social_People
trimmed_columpioscam1-2024-11-20_18_20_16_00-00-14_to_00-00-18_88.mp4,columpioscam1-2024-11-20 18:20:16.mp4,columpioscam1,14.25,18.25,Play_Object_Normal
trimmed_columpioscam3-2024-12-09_18-16-00_00-00-10_to_00-00-14_89.mp4,columpioscam3-2024-12-09_18-16-00.mp4,columpioscam3,10.333,14.333,Transit
trimmed_columpioscam3-2024-12-09_18-16-00_00-00-10_to_00-00-14_89.mp4,columpioscam3-2024-12-09_18-16-00.mp4,columpioscam3,10.333,14.333,Transit
trimmed_columpioscam1-2024-11-17_21_07_54_00-00-11_to_00-00-15_90.mp4,columpioscam1-2024-11-17 21:07:54.mp4,columpioscam1,10.667,14.667,Social_People
trimmed_columpioscam3-2024-10-24_13_20_20_00-00-10_to_00-00-14_92.mp4,columpioscam3-2024-10-24 13:20:20.mp4,columpioscam3,10.417,14.417,Transit
trimmed_columpioscam3-2024-10-24_13_20_20_00-00-10_to_00-00-14_92.mp4,columpioscam3-2024-10-24 13:20:20.mp4,columpioscam3,10.417,14.417,Transit
trimmed_columpioscam1-2024-11-14_19_17_55_00-00-08_to_00-00-12_97.mp4,columpioscam1-2024-11-14 19:17:55.mp4,columpioscam1,8.0,12.0,Social_People
trimmed_columpioscam3-2024-10-24_11_53_23_00-00-07_to_00-00-11_99.mp4,columpioscam3-2024-10-24 11:53:23.mp4,columpioscam3,7.417,11.417,Transit
trimmed_columpioscam1-2024-11-16_19_08_53_00-00-04_to_00-00-08_101.mp4,columpioscam1-2024-11-16 19:08:53.mp4,columpioscam1,4.167,8.167,Play_Object_Risk
trimmed_columpioscam1-2024-11-16_19_08_53_00-00-04_to_00-00-08_101.mp4,columpioscam1-2024-11-16 19:08:53.mp4,columpioscam1,4.167,8.167,Play_Object_Risk
